í≤ç∏îÕàÕ,óßñÿî‘çÜ,ãπçÇíºåa[cm],2cmäáñÒãπçÇíºåa[cm],é˜çÇ[m],ñÓçÇ[cm],çﬁêœ[m3],2cmäáñÒçﬁêœ[m3],ÉoÉCÉIÉ}ÉX[kg],ÉoÉCÉIÉ}ÉXÅi2cmäáñÒÅj[kg],é˜éÌ,ÉXÉeÅ[É^ÉX,ä‘î∞,Éå,ã´äEñÿ,èúäO,ÉtÉBÉãÉ^,ÉRÉÅÉìÉg,ä≤é¸[cm],X,Y,Z,ID,åoìxÅiê¢äEë™ínånÅj,à‹ìxÅiê¢äEë™ínånÅj,ïΩX[m]Åiê¢äEë™ínånÅj,ïΩY[m]Åiê¢äEë™ínånÅj,åoìxÅiì˙ñ{ë™ínånÅj,à‹ìxÅiì˙ñ{ë™ínånÅj,ïΩX[m]Åiì˙ñ{ë™ínånÅj,ïΩY[m]Åiì˙ñ{ë™ínånÅj,é˜ä•îºåa[m],ä‘î∞óvî€
,-1,33.4,34,14.3,1.7,0.6106,0.6301,294.79,304.22,ÉXÉM,ê∂óßñÿ,,,,,,,104.9,7.7,6.04,4.96,5,139.1354815,35.72907637,-29833.22,-63129.588,139.6257396,35.2563336,-30188.258,-62838.803,4.8,-
,-1,28.5,28,15.9,0.8,0.4826,0.4659,233.01,224.94,ÉXÉM,ê∂óßñÿ,,,,,,,89.5,5.36,3.55,2.71,4,139.1354523,35.72905697,-29835.354,-63132.249,139.6257397,35.2563337,-30190.392,-62841.465,4.4,-
,-1,32.6,32,16.5,1,0.6621,0.6366,319.68,307.34,ÉXÉM,ê∂óßñÿ,,,,,,,102.4,4.83,1.13,1.97,3,139.1354428,35.72903603,-29837.671,-63133.118,139.6257398,35.2563338,-30192.709,-62842.334,4.8,-
,-1,30.7,30,10.2,1.3,0.3533,0.3383,170.57,163.35,ÉXÉM,ê∂óßñÿ,,,,,,,96.4,-24.27,-24.86,-14.92,115,139.1350859,35.72883878,-29859.325,-63165.57,139.6257399,35.2563339,-30214.363,-62874.785,4.6,-
,-1,29.1,30,13.4,1.8,0.4219,0.4455,203.68,215.07,ÉXÉM,ê∂óßñÿ,,,,,,,91.4,9.79,1.25,4.75,2,139.1354974,35.72903108,-29838.255,-63128.19,139.62574,35.256334,-30193.293,-62837.405,4.5,-
,-1,47.1,48,18.3,4.6,1.3024,1.338,628.8,645.97,ÉXÉM,ê∂óßñÿ,,,,,,,147.9,-20.86,-27.09,-10.45,117,139.1351199,35.72881475,-29862.013,-63162.51,139.6257401,35.2563341,-30217.051,-62871.726,6,-
,-1,35.4,36,22.1,0.5,1.0114,1.0396,488.29,501.91,ÉXÉM,ê∂óßñÿ,,,,,,,111.2,-18.61,-26.37,-9.96,118,139.1351456,35.72881849,-29861.615,-63160.176,139.6257402,35.2563342,-30216.653,-62869.392,5,-
,-1,20.2,20,10,4.1,0.1609,0.1567,77.69,75.65,ÉXÉM,ê∂óßñÿ,,,,,,,63.4,-6.03,-30.06,0.42,130,139.135278,35.72877041,-29867.034,-63148.244,139.6257403,35.2563343,-30222.072,-62857.461,3.6,-
,-1,25.7,26,14.8,4.6,0.3724,0.3779,179.8,182.46,ÉXÉM,ê∂óßñÿ,,,,,,,80.7,-3.51,-26.2,0.77,134,139.1353113,35.72880186,-29863.566,-63145.207,139.6257404,35.2563344,-30218.604,-62854.423,4.1,-
,-1,40.1,40,17.7,3.2,1.0531,1.046,508.45,505.02,ÉXÉM,ê∂óßñÿ,,,,,,,125.9,-16.06,12.11,-4.34,137,139.1352302,35.72915916,-29823.874,-63152.262,139.6257405,35.2563345,-30178.911,-62861.478,5.4,-
,-1,48.1,48,18.6,0,1.3696,1.3616,661.23,657.36,ÉXÉM,ê∂óßñÿ,,,,,,,151.1,-10.47,-24.13,-4.7,62,139.1352381,35.72882872,-29860.54,-63151.802,139.6257406,35.2563346,-30215.577,-62861.018,6.1,-
,-1,26.5,26,17.1,3,0.4545,0.4371,219.42,211.06,ÉXÉM,ê∂óßñÿ,,,,,,,83.2,6.95,0.03,3.04,1,139.1354645,35.7290236,-29839.064,-63131.169,139.6257407,35.2563347,-30194.102,-62840.385,4.2,-
,-1,34,34,19.8,1.4,0.8479,0.8431,409.35,407.06,ÉXÉM,ê∂óßñÿ,,,,,,,106.8,-26.02,11.5,-8.71,140,139.1351201,35.72916569,-29823.078,-63162.209,139.6257408,35.2563348,-30178.116,-62871.425,4.9,-
,-1,41.6,42,19.5,1.4,1.1417,1.157,551.2,558.58,ÉXÉM,ê∂óßñÿ,,,,,,,130.6,-29.35,10.13,-10.6,141,139.1350817,35.72915742,-29823.971,-63165.697,139.6257409,35.2563349,-30179.009,-62874.913,5.5,-
,-1,29.4,30,23.4,0.9,0.7561,0.7814,365.06,377.28,ÉXÉM,ê∂óßñÿ,,,,,,,92.3,-0.33,-6.49,-1.88,70,139.1353751,35.72897409,-29844.499,-63139.297,139.625741,35.256335,-30199.537,-62848.513,4.5,-
,-1,45.6,46,24.6,0.5,1.695,1.7181,818.33,829.48,ÉXÉM,ê∂óßñÿ,,,,,,,143.2,-28.6,0.51,-15.91,143,139.1350757,35.72907061,-29833.598,-63166.304,139.6257411,35.2563351,-30188.636,-62875.52,5.9,-
,-1,39.7,40,27.4,1,1.5278,1.5466,737.59,746.66,ÉXÉM,ê∂óßñÿ,,,,,,,124.7,-31.57,2.84,-15.99,144,139.1350466,35.72909496,-29830.878,-63168.915,139.6257412,35.2563352,-30185.916,-62878.131,5.4,-
,-1,40.9,40,24.3,1.7,1.4556,1.389,702.73,670.6,ÉXÉM,ê∂óßñÿ,,,,,,,128.4,-30.98,-4.75,-18.38,146,139.1350419,35.72902648,-29838.473,-63169.396,139.6257413,35.2563353,-30193.511,-62878.612,5.5,-
,-1,30.4,30,25.9,0.4,0.8879,0.8656,428.67,417.93,ÉXÉM,ê∂óßñÿ,,,,,,,95.5,-31.56,-6.98,-19.02,147,139.1350323,35.72900728,-29840.597,-63170.282,139.6257414,35.2563354,-30195.635,-62879.498,4.6,-
,-1,37.7,38,27.3,1.3,1.376,1.3952,664.3,673.59,ÉXÉM,ê∂óßñÿ,,,,,,,118.4,-34.56,-9.27,-20.97,148,139.134996,35.72899038,-29842.448,-63173.574,139.6257415,35.2563355,-30197.486,-62882.79,5.2,-
,-1,52.2,52,24.6,1.5,2.1096,2.0905,1018.47,1009.25,ÉXÉM,ê∂óßñÿ,,,,,,,163.9,-35.76,-13.99,-22.02,149,139.134976,35.72894965,-29846.954,-63175.422,139.6257416,35.2563356,-30201.992,-62884.638,6.4,-
,-1,41.8,42,21.4,0.1,1.2725,1.2786,614.37,617.31,ÉXÉM,ê∂óßñÿ,,,,,,,131.3,-32.41,-15.65,-20.37,150,139.1350102,35.72893085,-29849.061,-63172.338,139.6257417,35.2563357,-30204.1,-62881.554,5.6,-
,-1,22.9,22,22.6,0.2,0.4603,0.4251,222.24,205.27,ÉXÉM,ê∂óßñÿ,,,,,,,71.9,-29.61,-20.46,-18.98,152,139.1350338,35.72888448,-29854.221,-63170.246,139.6257418,35.2563358,-30209.26,-62879.461,3.8,-
,-1,23.4,24,20.3,1.6,0.4282,0.4482,206.76,216.38,ÉXÉM,ê∂óßñÿ,,,,,,,73.5,-27.55,-24,-17.34,154,139.1350512,35.72885043,-29858.011,-63168.697,139.6257419,35.2563359,-30213.049,-62877.913,3.9,-
,-1,34.7,34,16.7,4.6,0.7572,0.724,365.56,349.53,ÉXÉM,ê∂óßñÿ,,,,,,,109,-23.34,-25.99,-13.43,156,139.1350944,35.72882752,-29860.58,-63164.809,139.625742,35.256336,-30215.618,-62874.025,5,-
,-1,38.5,38,18,1.4,0.9897,0.9611,477.8,464.02,ÉXÉM,ê∂óßñÿ,,,,,,,120.9,-23.16,13.12,-6.82,163,139.135154,35.72917674,-29821.874,-63159.142,139.6257421,35.2563361,-30176.912,-62868.357,5.3,-
,-1,41.4,42,17.6,1.9,1.0158,1.0362,490.41,500.27,ÉXÉM,ê∂óßñÿ,,,,,,,130,2.2,-16,1.56,73,139.1353889,35.72888613,-29854.267,-63138.117,139.6257422,35.2563362,-30209.305,-62847.332,5.5,-
,-1,37.3,38,18.7,1.3,0.964,0.9945,465.41,480.13,ÉXÉM,ê∂óßñÿ,,,,,,,117.1,-31.09,-16.96,-19.6,170,139.1350227,35.72891749,-29850.552,-63171.22,139.6257423,35.2563363,-30205.59,-62880.436,5.2,-
,-1,32.2,32,23.6,1.5,0.8923,0.8769,430.82,423.35,ÉXÉM,ê∂óßñÿ,,,,,,,101.1,-28.53,-16.72,-18.48,171,139.1350511,35.72891663,-29850.666,-63168.65,139.6257424,35.2563364,-30205.704,-62877.866,4.7,-
,-1,44.6,44,20,1.5,1.3116,1.2808,633.21,618.35,ÉXÉM,ê∂óßñÿ,,,,,,,140.1,-26.7,15.03,-6.74,180,139.1351179,35.72919798,-29819.494,-63162.388,139.6257425,35.2563365,-30174.532,-62871.604,5.8,-
,-1,27.4,28,17.8,2.2,0.5028,0.5221,242.78,252.05,ÉXÉM,ê∂óßñÿ,,,,,,,86,-23.07,11.49,-7.76,187,139.1351525,35.72916206,-29823.502,-63159.281,139.6257426,35.2563366,-30178.54,-62868.497,4.3,-
,-1,24.3,24,23.2,1.9,0.5286,0.5127,255.22,247.56,ÉXÉM,ê∂óßñÿ,,,,,,,76.3,-33.34,0.73,-17.71,202,139.1350241,35.72907827,-29832.715,-63170.967,139.6257427,35.2563367,-30187.753,-62880.183,4,-
